Kommune,År (intervall),År,Kjønn,Alder,Dødsårsak,Måltall,Antall,SortKommune
Hele landet,2004-2013,2013-01-01,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",89.2,2
Hele landet,2004-2013,2013-01-01,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",53.3,2
Hele landet,2005-2014,2014-01-01,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",897.1,2
Hele landet,2005-2014,2014-01-01,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",16.0,2
Hele landet,2005-2014,2014-01-01,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",288.3,2
Hele landet,2005-2014,2014-01-01,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",40.5,2
Hele landet,2005-2014,2014-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",241.6,2
Hele landet,2005-2014,2014-01-01,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",89.3,2
Hele landet,2005-2014,2014-01-01,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",52.6,2
Hele landet,2006-2015,2015-01-01,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",884.1,2
Hele landet,2006-2015,2015-01-01,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",15.3,2
Hele landet,2006-2015,2015-01-01,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",278.2,2
Hele landet,2006-2015,2015-01-01,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",40.9,2
Hele landet,2006-2015,2015-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",238.4,2
Hele landet,2006-2015,2015-01-01,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",89.4,2
Hele landet,2006-2015,2015-01-01,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",52.0,2
Hele landet,2007-2016,2016-01-01,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",870.7,2
Hele landet,2007-2016,2016-01-01,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",14.7,2
Hele landet,2007-2016,2016-01-01,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",267.0,2
Hele landet,2007-2016,2016-01-01,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",41.1,2
Hele landet,2007-2016,2016-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",235.5,2
Hele landet,2007-2016,2016-01-01,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",89.3,2
Hele landet,2007-2016,2016-01-01,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",51.6,2
Hele landet,2008-2017,2017-01-01,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",856.0,2
Hele landet,2008-2017,2017-01-01,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",14.1,2
Hele landet,2008-2017,2017-01-01,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",255.0,2
Hele landet,2008-2017,2017-01-01,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",41.2,2
Hele landet,2008-2017,2017-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",232.0,2
Hele landet,2008-2017,2017-01-01,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",88.6,2
Hele landet,2008-2017,2017-01-01,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",51.2,2
Hele landet,2009-2018,2018-01-01,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",842.7,2
Hele landet,2009-2018,2018-01-01,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",13.6,2
Hele landet,2009-2018,2018-01-01,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",243.8,2
Hele landet,2009-2018,2018-01-01,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",41.1,2
Hele landet,2009-2018,2018-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",228.5,2
Hele landet,2009-2018,2018-01-01,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",87.7,2
Hele landet,2009-2018,2018-01-01,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",51.1,2
Hele landet,2010-2019,2019-01-01,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",829.6,2
Hele landet,2010-2019,2019-01-01,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",13.1,2
Hele landet,2010-2019,2019-01-01,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",233.2,2
Hele landet,2010-2019,2019-01-01,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",40.9,2
Hele landet,2010-2019,2019-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",225.0,2
Hele landet,2010-2019,2019-01-01,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",86.7,2
Hele landet,2010-2019,2019-01-01,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",50.5,2
Hele landet,2011-2020,2020-01-01,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",815.9,2
Hele landet,2011-2020,2020-01-01,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",13.1,2
Hele landet,2011-2020,2020-01-01,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",223.1,2
Hele landet,2011-2020,2020-01-01,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",40.3,2
Hele landet,2011-2020,2020-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",220.5,2
Hele landet,2011-2020,2020-01-01,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",85.1,2
Hele landet,2011-2020,2020-01-01,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",50.1,2
Hele landet,2012-2021,2021-01-01,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",804.5,2
Hele landet,2012-2021,2021-01-01,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",13.0,2
Hele landet,2012-2021,2021-01-01,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",214.7,2
Hele landet,2012-2021,2021-01-01,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",40.0,2
Hele landet,2012-2021,2021-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",216.3,2
Hele landet,2012-2021,2021-01-01,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",83.8,2
Hele landet,2012-2021,2021-01-01,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",49.7,2
Hele landet,2013-2022,2022-01-01,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",799.0,2
Hele landet,2013-2022,2022-01-01,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",13.0,2
Hele landet,2013-2022,2022-01-01,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",206.6,2
Hele landet,2013-2022,2022-01-01,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",39.6,2
Hele landet,2013-2022,2022-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",212.7,2
Hele landet,2013-2022,2022-01-01,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",82.5,2
Hele landet,2013-2022,2022-01-01,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",49.8,2
Hele landet,2014-2023,2023-01-01,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",789.9,2
Hele landet,2014-2023,2023-01-01,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",13.0,2
Hele landet,2014-2023,2023-01-01,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",198.8,2
Hele landet,2014-2023,2023-01-01,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",39.4,2
Hele landet,2014-2023,2023-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",208.5,2
Hele landet,2014-2023,2023-01-01,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",81.1,2
Hele landet,2014-2023,2023-01-01,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",49.9,2
Hele landet,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",781.9,2
Hele landet,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",13.0,2
Hele landet,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",192.2,2
Hele landet,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",39.1,2
Hele landet,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",204.5,2
Hele landet,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",79.9,2
Hele landet,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",49.9,2
Telemark,2001-2010,2010-01-01,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",1001.5,1
Telemark,2001-2010,2010-01-01,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",19.4,1
Telemark,2001-2010,2010-01-01,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",366.1,1
Telemark,2001-2010,2010-01-01,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",48.3,1
Telemark,2001-2010,2010-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",250.7,1
Telemark,2001-2010,2010-01-01,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",96.4,1
Telemark,2001-2010,2010-01-01,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",58.0,1
Telemark,2002-2011,2011-01-01,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",976.1,1
Telemark,2002-2011,2011-01-01,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",18.5,1
Telemark,2002-2011,2011-01-01,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",345.7,1
Telemark,2002-2011,2011-01-01,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",48.5,1
Telemark,2002-2011,2011-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",248.4,1
Telemark,2002-2011,2011-01-01,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",97.6,1
Telemark,2002-2011,2011-01-01,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",56.7,1
Telemark,2003-2012,2012-01-01,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",963.4,1
Telemark,2003-2012,2012-01-01,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",19.0,1
Telemark,2003-2012,2012-01-01,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",330.2,1
Telemark,2003-2012,2012-01-01,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",49.3,1
Telemark,2003-2012,2012-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",245.2,1
Telemark,2003-2012,2012-01-01,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",97.8,1
Telemark,2003-2012,2012-01-01,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",58.2,1
Telemark,2004-2013,2013-01-01,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",949.4,1
Telemark,2004-2013,2013-01-01,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",18.7,1
Telemark,2004-2013,2013-01-01,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",316.0,1
Telemark,2004-2013,2013-01-01,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",50.7,1
Telemark,2004-2013,2013-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",244.5,1
Telemark,2004-2013,2013-01-01,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",98.6,1
Telemark,2004-2013,2013-01-01,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",57.6,1
Telemark,2005-2014,2014-01-01,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",939.3,1
Telemark,2005-2014,2014-01-01,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",17.8,1
Telemark,2005-2014,2014-01-01,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",302.7,1
Telemark,2005-2014,2014-01-01,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",50.7,1
Telemark,2005-2014,2014-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",244.7,1
Telemark,2005-2014,2014-01-01,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",98.7,1
Telemark,2005-2014,2014-01-01,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",57.7,1
Telemark,2006-2015,2015-01-01,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",927.8,1
Telemark,2006-2015,2015-01-01,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",18.1,1
Telemark,2006-2015,2015-01-01,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",293.7,1
Telemark,2006-2015,2015-01-01,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",51.6,1
Telemark,2006-2015,2015-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",242.2,1
Telemark,2006-2015,2015-01-01,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",100.0,1
Telemark,2006-2015,2015-01-01,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",57.3,1
Telemark,2007-2016,2016-01-01,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",915.7,1
Telemark,2007-2016,2016-01-01,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",18.3,1
Telemark,2007-2016,2016-01-01,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",283.6,1
Telemark,2007-2016,2016-01-01,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",52.4,1
Telemark,2007-2016,2016-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",236.2,1
Telemark,2007-2016,2016-01-01,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",99.6,1
Telemark,2007-2016,2016-01-01,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",57.0,1
Telemark,2008-2017,2017-01-01,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",902.0,1
Telemark,2008-2017,2017-01-01,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",18.1,1
Telemark,2008-2017,2017-01-01,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",272.5,1
Telemark,2008-2017,2017-01-01,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",52.7,1
Telemark,2008-2017,2017-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",233.2,1
Telemark,2008-2017,2017-01-01,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",98.5,1
Telemark,2008-2017,2017-01-01,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",57.8,1
Telemark,2009-2018,2018-01-01,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",888.7,1
Telemark,2009-2018,2018-01-01,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",17.1,1
Telemark,2009-2018,2018-01-01,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",264.7,1
Telemark,2009-2018,2018-01-01,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",51.9,1
Telemark,2009-2018,2018-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",229.3,1
Telemark,2009-2018,2018-01-01,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",97.5,1
Telemark,2009-2018,2018-01-01,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",57.4,1
Telemark,2010-2019,2019-01-01,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",879.2,1
Telemark,2010-2019,2019-01-01,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",16.2,1
Telemark,2010-2019,2019-01-01,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",258.7,1
Telemark,2010-2019,2019-01-01,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",52.6,1
Telemark,2010-2019,2019-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",226.8,1
Telemark,2010-2019,2019-01-01,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",97.7,1
Telemark,2010-2019,2019-01-01,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",55.8,1
Telemark,2011-2020,2020-01-01,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",870.9,1
Telemark,2011-2020,2020-01-01,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",16.8,1
Telemark,2011-2020,2020-01-01,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",251.3,1
Telemark,2011-2020,2020-01-01,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",52.1,1
Telemark,2011-2020,2020-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",223.3,1
Telemark,2011-2020,2020-01-01,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",97.6,1
Telemark,2011-2020,2020-01-01,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",55.4,1
Telemark,2012-2021,2021-01-01,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",860.2,1
Telemark,2012-2021,2021-01-01,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",17.1,1
Telemark,2012-2021,2021-01-01,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",243.8,1
Telemark,2012-2021,2021-01-01,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",51.2,1
Telemark,2012-2021,2021-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",219.3,1
Telemark,2012-2021,2021-01-01,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",95.9,1
Telemark,2012-2021,2021-01-01,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",55.7,1
Telemark,2013-2022,2022-01-01,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",853.3,1
Telemark,2013-2022,2022-01-01,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",16.5,1
Telemark,2013-2022,2022-01-01,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",234.3,1
Telemark,2013-2022,2022-01-01,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",50.2,1
Telemark,2013-2022,2022-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",217.5,1
Telemark,2013-2022,2022-01-01,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",94.4,1
Telemark,2013-2022,2022-01-01,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",55.6,1
Telemark,2014-2023,2023-01-01,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",847.3,1
Telemark,2014-2023,2023-01-01,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",16.5,1
Telemark,2014-2023,2023-01-01,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",228.7,1
Telemark,2014-2023,2023-01-01,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",50.6,1
Telemark,2014-2023,2023-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",212.8,1
Telemark,2014-2023,2023-01-01,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",94.3,1
Telemark,2014-2023,2023-01-01,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",55.8,1
Telemark,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",839.9,1
Telemark,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",16.6,1
Telemark,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",222.0,1
Telemark,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",50.2,1
Telemark,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",206.1,1
Telemark,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",93.6,1
Telemark,2015-2024,2024-01-01,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",55.9,1
Porsgrunn,2001-2010,2010-01-01,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",1057.6,13
Porsgrunn,2001-2010,2010-01-01,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",20.9,13
Porsgrunn,2001-2010,2010-01-01,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",382.6,13
Porsgrunn,2001-2010,2010-01-01,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",47.6,13
Porsgrunn,2001-2010,2010-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",272.1,13
Porsgrunn,2001-2010,2010-01-01,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",103.6,13
Porsgrunn,2001-2010,2010-01-01,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",54.1,13
Porsgrunn,2002-2011,2011-01-01,Kjønn samlet,Alle aldre,Alle dødsårsaker,"per 100 000, standardisert",1037.3,13
Porsgrunn,2002-2011,2011-01-01,Kjønn samlet,Alle aldre,Diabetes,"per 100 000, standardisert",20.4,13
Porsgrunn,2002-2011,2011-01-01,Kjønn samlet,Alle aldre,Hjerte-og karsykdommer,"per 100 000, standardisert",364.0,13
Porsgrunn,2002-2011,2011-01-01,Kjønn samlet,Alle aldre,KOLS,"per 100 000, standardisert",46.8,13
Porsgrunn,2002-2011,2011-01-01,Kjønn samlet,Alle aldre,Kreft,"per 100 000, standardisert",274.6,13
Porsgrunn,2002-2011,2011-01-01,Kjønn samlet,Alle aldre,KOLS og lungekreft,"per 100 000, standardisert",102.9,13
Porsgrunn,2002-2011,2011-01-01,Kjønn samlet,Alle aldre,Voldsomme dødsfall,"per 100 000, standardisert",53.9,13
